lam,eq_max,eq_min,bond_mode,is_sharpe,is_cagr,is_maxdd,is_excess,oos_sharpe,oos_cagr,oos_maxdd,oos_excess
10,0.9,0.2,short,0.24860388011721465,0.028505459589078512,-0.20333056147273343,-0.05892522686983922,0.23730421516532496,0.03199179949251674,-0.3380014341465025,-0.06171969141219959
10,0.9,0.3,long,0.4723981053383134,0.0563973533424587,-0.19753247597609935,-0.031033333116459033,0.18882841388402546,0.027520847997148334,-0.3380014341465025,-0.06619064290756799
10,0.9,0.3,medium,0.35699797661608623,0.041129152025502824,-0.20087153951361736,-0.046301534433414906,0.2572584811533348,0.035913148874167425,-0.3380014341465025,-0.0577983420305489
10,0.9,0.3,short,0.28285976543877944,0.032783232322310174,-0.20171023629424734,-0.05464745413660756,0.28144613140139324,0.03846880607517523,-0.3380014341465025,-0.055242684829541096
10,0.9,0.4,long,0.4854698719137208,0.057309947757235226,-0.19635521617869844,-0.030120738701682505,0.23191143045262053,0.033839915901033,-0.3380014341465025,-0.05987157500368332
10,0.9,0.4,medium,0.37999337462498284,0.04421638076599135,-0.19935741215540415,-0.04321430569292638,0.29486630933140096,0.04163078020757059,-0.3380014341465025,-0.05208071069714573
10,0.9,0.4,short,0.31515391903192114,0.03706101203587447,-0.2001399882092868,-0.05036967442304326,0.31722931935829507,0.04409457044151907,-0.3380014341465025,-0.04961692046319725
10,0.9,0.5,long,0.4895112449106627,0.0577623119142658,-0.19529604853160498,-0.029668374544651932,0.2731637439683249,0.04002750792088805,-0.3380014341465025,-0.053683982983828274
10,0.9,0.5,medium,0.3964542470306177,0.04684337924873393,-0.1979147581528925,-0.040587307210183804,0.3180865240274065,0.045529321033035176,-0.3380014341465025,-0.04818216987168115
10,0.9,0.5,short,0.34082011559819253,0.040788312346637455,-0.1986201489849787,-0.046642374112280276,0.3428089006304056,0.04862050353020329,-0.3380014341465025,-0.04509098737451303
25,0.8,0.2,long,0.6490430598550203,0.06871014663250573,-0.12979194990871068,-0.018720539826412003,0.17711908281997743,0.023831477408161248,-0.3043822596346947,-0.06988001349655508
25,0.8,0.2,medium,0.5036558182924118,0.04902801927766491,-0.12979194990871057,-0.03840266718125282,0.243340426941754,0.030768272272166233,-0.3043822596346947,-0.06294321863255009
25,0.8,0.2,short,0.3796754728500457,0.03695492565756762,-0.1303845570959452,-0.05047576080135011,0.28154970847279853,0.03447371036074532,-0.3043822596346947,-0.059237780543971004
25,0.8,0.3,long,0.6535653316374201,0.06752094741368056,-0.1298017792499534,-0.01990973904523717,0.22327267001788106,0.02999950200111966,-0.3043822596346947,-0.06371198890359667
25,0.8,0.3,medium,0.5106490156810379,0.05030177474363739,-0.12980177924995107,-0.03712891171528034,0.30071260770270775,0.03839180287813874,-0.3043822596346947,-0.055319688026577586
25,0.8,0.3,short,0.39945684254476466,0.03974018306600156,-0.13792769046171727,-0.047690503392916174,0.3289662006499898,0.040947460079146555,-0.3043822596346947,-0.05276403082556977
25,0.8,0.4,long,0.6476624714977186,0.06633174819485538,-0.13010046699258415,-0.021098938264062353,0.26995016027671437,0.03631531304074707,-0.3043822596346947,-0.05739617786396926
25,0.8,0.4,medium,0.5125645709072165,0.051575530209609845,-0.13154298033663925,-0.035855156249307886,0.3409113196932285,0.044106177347284635,-0.3043822596346947,-0.04960531355743169
25,0.8,0.4,short,0.41581530425534996,0.042525440474435475,-0.14886325611956097,-0.044905245984482256,0.36672810361740565,0.04656996758123312,-0.3043822596346947,-0.0471415233234832
25,0.8,0.5,long,0.6267645747492421,0.06468231185915806,-0.133533605809808,-0.022748374599759674,0.31441693837103657,0.0424996481963448,-0.3043822596346947,-0.05121184270837152
25,0.8,0.5,medium,0.5056901439159243,0.0523890485587102,-0.14361159345645713,-0.035041637900207534,0.36509132978504033,0.04800146130849195,-0.3043822596346947,-0.045710029596224375
25,0.8,0.5,short,0.4247486971810542,0.044850460765997274,-0.15960141910760128,-0.042580225692920456,0.3928525593880986,0.05109264380566007,-0.3043822596346947,-0.04261884709905625
25,0.9,0.2,long,0.6098063603543953,0.07016985160615836,-0.14506718180535483,-0.017260834852759366,0.14634210020459884,0.021372364589733583,-0.3380014341465025,-0.07233912631498274
25,0.9,0.2,medium,0.4704833204847408,0.050476969189547326,-0.14506718180535605,-0.036953717269370405,0.20423741551349317,0.028309159453738575,-0.3380014341465025,-0.06540233145097775
25,0.9,0.2,short,0.3578942547782646,0.03839441460965285,-0.14509233034432267,-0.04903627184926488,0.2371948101194824,0.032014597542317655,-0.3380014341465025,-0.06169689336239867
25,0.9,0.3,long,0.6113949145398904,0.06898065238733316,-0.1450775977551454,-0.018450034071584576,0.1887979228205869,0.02754038918269197,-0.3380014341465025,-0.06617110172202435
25,0.9,0.3,medium,0.4772058104926482,0.0517507246555198,-0.14507759775514495,-0.03567996180339793,0.25715415630326616,0.035932690059711066,-0.3380014341465025,-0.05777880084500526
25,0.9,0.3,short,0.376628842821993,0.04117967201808677,-0.14949664550967612,-0.04625101444083096,0.28131032509542025,0.03848834726071887,-0.3380014341465025,-0.055223143643997455
25,0.9,0.4,long,0.604705473975036,0.06779145316850799,-0.14508805354613197,-0.019639233290409744,0.23185300289151092,0.033856200222319374,-0.3380014341465025,-0.05985529068239695
25,0.9,0.4,medium,0.4799772221545728,0.05302448012149226,-0.14706563471992895,-0.03440620633742547,0.294750777516602,0.041647064528856956,-0.3380014341465025,-0.05206442637585937
25,0.9,0.4,short,0.39262549428334226,0.04396492942652071,-0.16028545657846704,-0.04346575703239702,0.3170902350684912,0.04411085476280544,-0.3380014341465025,-0.04960063614191088
25,0.9,0.5,long,0.5857325545789622,0.06614201683281068,-0.14714408583610938,-0.02128866962610705,0.27309189846419807,0.040040535377917144,-0.3380014341465025,-0.05367095552679918
25,0.9,0.5,medium,0.475225197483698,0.053837998470592605,-0.15817374210151436,-0.033592687988325126,0.3179813805832266,0.04554234849006427,-0.3380014341465025,-0.048169142414652054
25,0.9,0.5,short,0.4021137379535156,0.0462899497180825,-0.17087951410861135,-0.04114073674083523,0.34268545022069025,0.048633530987232394,-0.3380014341465025,-0.04507795991748393
50,0.8,0.2,long,0.627849043445663,0.067047148332606,-0.18566409496072933,-0.02038353812631173,0.1543105067230218,0.02081080144520156,-0.3043822596346947,-0.07290068945951476
50,0.8,0.2,medium,0.4648910542201309,0.04511001997456437,-0.18935315516046702,-0.04232066648435336,0.22136256776539137,0.028167416806973405,-0.3043822596346947,-0.06554407409774292
